"","checked","result_type","id","citation_id","site_id","treatment_id","sitename","city","lat","lon","scientificname","commonname","genus","species_id","cultivar_id","author","citation_year","treatment","date","time","raw_date","month","year","dateloc","trait","trait_description","mean","units","n","statname","stat","notes","access_level","cultivar","entity","method_name","view_url","edit_url"
"1",0,"traits",6002483072,6000000008,6000015697,NA,"MAC Field Scanner Season 6 Range 20 Column 5 W","Maricopa",33.0752305130558,-111.974986448172,"Sorghum bicolor","sorghum","Sorghum",2588,NA,"Zongyang, Li",2016,NA,"2018 Apr 1","12:00:00 (America/Phoenix)","2018-04-01 14:00:00 -0500",4,2018,"5.0","canopy_cover","Fraction of ground covered by plant",2.33253588517,"%",NA,"",NA,"",2,NA,NA,"Canopy Cover Estimation from Field Scanner RGB images","https://terraref.ncsa.illinois.edu/bety/traits/6002483072","https://terraref.ncsa.illinois.edu/bety/traits/6002483072/edit"
"2",0,"traits",6002483074,6000000008,6000013928,NA,"MAC Field Scanner Season 6 Range 14 Column 12 E","Maricopa",33.0750149002947,-111.974863580549,"Sorghum bicolor","sorghum","Sorghum",2588,NA,"Zongyang, Li",2016,NA,"2018 Apr 1","12:00:00 (America/Phoenix)","2018-04-01 14:00:00 -0500",4,2018,"5.0","canopy_cover","Fraction of ground covered by plant",5.64102564103,"%",NA,"",NA,"",2,NA,NA,"Canopy Cover Estimation from Field Scanner RGB images","https://terraref.ncsa.illinois.edu/bety/traits/6002483074","https://terraref.ncsa.illinois.edu/bety/traits/6002483074/edit"
"3",0,"traits",6002483075,6000000008,6000013683,NA,"MAC Field Scanner Season 6 Range 2 Column 5 W","Maricopa",33.0745835552196,-111.974986151517,"Sorghum bicolor","sorghum","Sorghum",2588,NA,"Zongyang, Li",2016,NA,"2018 Apr 1","12:00:00 (America/Phoenix)","2018-04-01 14:00:00 -0500",4,2018,"5.0","canopy_cover","Fraction of ground covered by plant",0,"%",NA,"",NA,"",2,NA,NA,"Canopy Cover Estimation from Field Scanner RGB images","https://terraref.ncsa.illinois.edu/bety/traits/6002483075","https://terraref.ncsa.illinois.edu/bety/traits/6002483075/edit"
"4",0,"traits",6002483076,6000000008,6000013652,NA,"MAC Field Scanner Season 6 Range 18 Column 7 E","Maricopa",33.0751586421207,-111.974945492247,"Sorghum bicolor","sorghum","Sorghum",2588,NA,"Zongyang, Li",2016,NA,"2018 Apr 1","12:00:00 (America/Phoenix)","2018-04-01 14:00:00 -0500",4,2018,"5.0","canopy_cover","Fraction of ground covered by plant",11.5457875458,"%",NA,"",NA,"",2,NA,NA,"Canopy Cover Estimation from Field Scanner RGB images","https://terraref.ncsa.illinois.edu/bety/traits/6002483076","https://terraref.ncsa.illinois.edu/bety/traits/6002483076/edit"
"5",0,"traits",6002483077,6000000008,6000013710,NA,"MAC Field Scanner Season 6 Range 13 Column 6 W","Maricopa",33.074978923637,-111.974969963618,"Sorghum bicolor","sorghum","Sorghum",2588,NA,"Zongyang, Li",2016,NA,"2018 Apr 1","12:00:00 (America/Phoenix)","2018-04-01 14:00:00 -0500",4,2018,"5.0","canopy_cover","Fraction of ground covered by plant",2.27106227106,"%",NA,"",NA,"",2,NA,NA,"Canopy Cover Estimation from Field Scanner RGB images","https://terraref.ncsa.illinois.edu/bety/traits/6002483077","https://terraref.ncsa.illinois.edu/bety/traits/6002483077/edit"
"6",0,"traits",6002483078,6000000008,6000016228,NA,"MAC Field Scanner Season 6 Range 54 Column 6 W","Maricopa",33.0764525496253,-111.974970639469,"Sorghum bicolor","sorghum","Sorghum",2588,NA,"Zongyang, Li",2016,NA,"2018 Apr 1","12:00:00 (America/Phoenix)","2018-04-01 14:00:00 -0500",4,2018,"5.0","canopy_cover","Fraction of ground covered by plant",0,"%",NA,"",NA,"",2,NA,NA,"Canopy Cover Estimation from Field Scanner RGB images","https://terraref.ncsa.illinois.edu/bety/traits/6002483078","https://terraref.ncsa.illinois.edu/bety/traits/6002483078/edit"
"7",0,"traits",6002483082,6000000008,6000014033,NA,"MAC Field Scanner Season 6 Range 21 Column 10 E","Maricopa",33.0752664843248,-111.974896434026,"Sorghum bicolor","sorghum","Sorghum",2588,NA,"Zongyang, Li",2016,NA,"2018 Apr 1","12:00:00 (America/Phoenix)","2018-04-01 14:00:00 -0500",4,2018,"5.0","canopy_cover","Fraction of ground covered by plant",7.82342657343,"%",NA,"",NA,"",2,NA,NA,"Canopy Cover Estimation from Field Scanner RGB images","https://terraref.ncsa.illinois.edu/bety/traits/6002483082","https://terraref.ncsa.illinois.edu/bety/traits/6002483082/edit"
"8",0,"traits",6002483083,6000000008,6000014440,NA,"MAC Field Scanner Season 6 Range 48 Column 2 E","Maricopa",33.0762368784556,-111.975027833389,"Sorghum bicolor","sorghum","Sorghum",2588,NA,"Zongyang, Li",2016,NA,"2018 Apr 1","12:00:00 (America/Phoenix)","2018-04-01 14:00:00 -0500",4,2018,"5.0","canopy_cover","Fraction of ground covered by plant",0,"%",NA,"",NA,"",2,NA,NA,"Canopy Cover Estimation from Field Scanner RGB images","https://terraref.ncsa.illinois.edu/bety/traits/6002483083","https://terraref.ncsa.illinois.edu/bety/traits/6002483083/edit"
"9",0,"traits",6002483084,6000000008,6000014601,NA,"MAC Field Scanner Season 6 Range 31 Column 9","Maricopa",33.0756258996379,-111.974917060116,"Sorghum bicolor","sorghum","Sorghum",2588,NA,"Zongyang, Li",2016,NA,"2018 Apr 1","12:00:00 (America/Phoenix)","2018-04-01 14:00:00 -0500",4,2018,"5.0","canopy_cover","Fraction of ground covered by plant",1.19413919414,"%",NA,"",NA,"",2,NA,NA,"Canopy Cover Estimation from Field Scanner RGB images","https://terraref.ncsa.illinois.edu/bety/traits/6002483084","https://terraref.ncsa.illinois.edu/bety/traits/6002483084/edit"
"10",0,"traits",6002483088,6000000008,6000015093,NA,"MAC Field Scanner Season 6 Range 25 Column 11","Maricopa",33.0754102576435,-111.974884222877,"Sorghum bicolor","sorghum","Sorghum",2588,NA,"Zongyang, Li",2016,NA,"2018 Apr 1","12:00:00 (America/Phoenix)","2018-04-01 14:00:00 -0500",4,2018,"5.0","canopy_cover","Fraction of ground covered by plant",13.8694638695,"%",NA,"",NA,"",2,NA,NA,"Canopy Cover Estimation from Field Scanner RGB images","https://terraref.ncsa.illinois.edu/bety/traits/6002483088","https://terraref.ncsa.illinois.edu/bety/traits/6002483088/edit"
"11",0,"traits",6002483089,6000000008,6000014599,NA,"MAC Field Scanner Season 6 Range 25 Column 16","Maricopa",33.0754102841991,-111.974802376712,"Sorghum bicolor","sorghum","Sorghum",2588,NA,"Zongyang, Li",2016,NA,"2018 Apr 1","12:00:00 (America/Phoenix)","2018-04-01 14:00:00 -0500",4,2018,"5.0","canopy_cover","Fraction of ground covered by plant",0.215220385675,"%",NA,"",NA,"",2,NA,NA,"Canopy Cover Estimation from Field Scanner RGB images","https://terraref.ncsa.illinois.edu/bety/traits/6002483089","https://terraref.ncsa.illinois.edu/bety/traits/6002483089/edit"
"12",0,"traits",6002483090,6000000008,6000015096,NA,"MAC Field Scanner Season 6 Range 25 Column 14","Maricopa",33.0754102735836,-111.974835115146,"Sorghum bicolor","sorghum","Sorghum",2588,NA,"Zongyang, Li",2016,NA,"2018 Apr 1","12:00:00 (America/Phoenix)","2018-04-01 14:00:00 -0500",4,2018,"5.0","canopy_cover","Fraction of ground covered by plant",2.30914918415,"%",NA,"",NA,"",2,NA,NA,"Canopy Cover Estimation from Field Scanner RGB images","https://terraref.ncsa.illinois.edu/bety/traits/6002483090","https://terraref.ncsa.illinois.edu/bety/traits/6002483090/edit"
"13",0,"traits",6002483091,6000000008,6000015097,NA,"MAC Field Scanner Season 6 Range 25 Column 15","Maricopa",33.0754102788752,-111.974818745929,"Sorghum bicolor","sorghum","Sorghum",2588,NA,"Zongyang, Li",2016,NA,"2018 Apr 1","12:00:00 (America/Phoenix)","2018-04-01 14:00:00 -0500",4,2018,"5.0","canopy_cover","Fraction of ground covered by plant",2.47668997669,"%",NA,"",NA,"",2,NA,NA,"Canopy Cover Estimation from Field Scanner RGB images","https://terraref.ncsa.illinois.edu/bety/traits/6002483091","https://terraref.ncsa.illinois.edu/bety/traits/6002483091/edit"
